           Target  Accuracy (%)       AUC       FAR       FRR
0   crystal_right          85.0  0.777778  0.222222  0.090909
1    crystal_left         100.0  1.000000  0.000000  0.000000
2     james_right          75.0  0.727273  0.111111  0.363636
3      james_left          75.0  0.838384  0.222222  0.272727
4     jason_right          85.0  0.898990  0.111111  0.181818
5      jason_left          80.0  0.878788  0.222222  0.181818
6    jinwei_right          95.0  0.969697  0.111111  0.000000
7     jinwei_left          90.0  0.969697  0.111111  0.090909
8     kevin_right         100.0  1.000000  0.000000  0.000000
9      kevin_left          60.0  0.707071  0.555556  0.272727
10  rongwei_right          75.0  0.898990  0.000000  0.454545
11   rongwei_left          65.0  1.000000  0.777778  0.000000
12    ruxin_right          90.0  0.989899  0.111111  0.090909
13     ruxin_left          90.0  0.888889  0.222222  0.000000
14     will_right          45.0  0.848485  0.000000  1.000000
15      will_left          95.0  1.000000  0.000000  0.090909

Overall Performance Summary (per user-finger):
            Target  Accuracy (%)    AUC  FAR  FRR
0   crystal_right         100.0  1.000  0.0  0.0
1    crystal_left          95.0  1.000  0.1  0.0
2     james_right          85.0  0.970  0.2  0.1
3      james_left          55.0  0.760  0.1  0.8
4     jason_right          85.0  0.940  0.3  0.0
5      jason_left          50.0  0.490  0.0  1.0
6    jinwei_right          85.0  1.000  0.0  0.3
7     jinwei_left          70.0  0.800  0.6  0.0
8     kevin_right          55.0  0.555  0.5  0.4
9      kevin_left          65.0  0.690  0.1  0.6
10  rongwei_right          90.0  0.930  0.2  0.0
11   rongwei_left          60.0  0.690  0.8  0.0
12    ruxin_right          80.0  0.760  0.3  0.1
13     ruxin_left          60.0  0.665  0.5  0.3
14     will_right          70.0  0.530  0.6  0.0
15      will_left          80.0  0.950  0.1  0.3
